gender,married,ch,income,loanamt,status
Male,No,1,5849,,Y
Male,Yes,1,4583,128,N
Male,Yes,1,3000,66,Y
Male,Yes,1,2583,120,Y
Male,No,1,6000,141,Y
Male,Yes,1,5417,267,Y
Male,Yes,1,2333,95,Y
Male,Yes,0,3036,158,N
Male,Yes,1,4006,168,Y
Male,Yes,1,12841,349,N
Male,Yes,1,3200,70,Y
Male,Yes,1,2500,109,Y
Male,Yes,1,3073,200,Y
Male,No,1,1853,114,N
Male,Yes,1,1299,17,Y
Male,No,1,4950,125,Y
Male,No,,3596,100,Y
Female,No,0,3510,76,N
Male,Yes,1,4887,133,N
Male,Yes,1,2600,115,Y
Male,Yes,0,7660,104,N
Male,Yes,1,5955,315,Y
Male,Yes,0,2600,116,N
,Yes,0,3365,112,N
Male,Yes,,3717,151,N
Male,Yes,1,9560,191,Y
Male,Yes,1,2799,122,Y
Male,Yes,1,4226,110,Y
Male,No,1,1442,35,N
Female,No,1,3750,120,Y
Male,Yes,,4166,201,N
Male,No,1,3167,74,N
Male,No,1,4692,106,N
Male,Yes,1,3500,114,Y
Male,No,1,12500,320,N
Male,Yes,1,2275,,Y
Male,Yes,0,1828,100,N
Female,Yes,1,3667,144,Y
Male,No,1,4166,184,Y
Male,No,1,3748,110,Y
Male,No,1,3600,80,N
Male,No,1,1800,47,Y
Male,Yes,,2400,75,Y
Male,Yes,1,3941,134,Y
Male,Yes,1,4695,96,Y
Female,No,1,3410,88,Y
Male,Yes,1,5649,44,Y
Male,Yes,1,5821,144,Y
Female,Yes,0,2645,120,N
Female,No,1,4000,144,Y
Female,Yes,1,1928,100,Y
Female,No,1,3086,120,Y
Female,No,1,4230,112,N
Male,Yes,1,4616,134,N
Female,Yes,0,11500,286,N
Male,Yes,1,2708,97,Y
Male,Yes,1,2132,96,Y
Male,Yes,1,3366,135,N
Male,Yes,1,8080,180,Y
Male,Yes,1,3357,144,Y
Male,Yes,1,2500,120,Y
Male,Yes,1,3029,99,Y
Male,Yes,0,2609,165,N
Male,Yes,0,4945,,N
Female,No,0,4166,116,N
Male,Yes,1,5726,258,N
Male,No,0,3200,126,N
Male,Yes,1,10750,312,Y
Male,Yes,1,7100,125,Y
Female,No,0,4300,136,N
Male,Yes,1,3208,172,Y
Male,Yes,1,1875,97,Y
Male,No,1,3500,81,Y
Male,Yes,0,4755,95,N
Male,Yes,1,5266,187,Y
Male,No,1,3750,113,N
Male,No,1,3750,176,N
Male,Yes,1,1000,110,N
Male,Yes,0,3167,180,N
Male,Yes,,3333,130,Y
Female,No,1,3846,111,Y
Male,Yes,1,2395,,Y
Female,Yes,1,1378,167,N
Male,Yes,,6000,265,N
Male,Yes,1,3988,50,Y
Male,No,1,2366,136,Y
Male,Yes,,3333,99,Y
Male,Yes,1,2500,104,Y
Male,No,1,8566,210,Y
Male,Yes,1,5695,175,Y
Male,Yes,1,2958,131,Y
Male,Yes,1,6250,188,Y
Male,Yes,1,3273,81,Y
Male,No,1,4133,122,Y
Male,No,1,3620,25,Y
Male,No,,6782,,N
Female,Yes,1,2484,137,Y
Male,Yes,1,1977,50,Y
Male,Yes,1,4188,115,Y
Male,Yes,1,1759,131,Y
Male,Yes,1,4288,133,Y
Male,No,1,4843,151,Y
Male,Yes,1,13650,,Y
Male,Yes,1,4652,,Y
Male,,1,3816,160,Y
Male,Yes,1,3052,100,Y
Male,Yes,1,11417,225,Y
Male,No,1,7333,120,N
Male,Yes,0,3800,216,N
Male,Yes,1,2071,94,Y
Male,No,1,5316,136,Y
Female,Yes,1,2929,139,Y
Male,Yes,0,3572,152,N
Female,No,1,7451,,Y
Male,No,1,5050,118,Y
Male,Yes,1,14583,185,Y
Female,Yes,1,3167,154,Y
Male,Yes,,2214,85,Y
Male,Yes,1,5568,175,N
Female,No,1,10408,259,Y
Male,Yes,1,5667,180,Y
Female,No,1,4166,44,Y
Female,No,0,2137,137,Y
Male,Yes,1,2957,81,Y
Male,Yes,1,4300,194,Y
Female,No,,3692,93,Y
,Yes,1,23803,370,Y
Male,No,1,3865,,Y
Male,Yes,0,10513,160,N
Male,Yes,,6080,182,N
Male,No,,20166,650,Y
Male,No,1,2014,74,Y
Male,No,1,2718,70,Y
Male,Yes,1,3459,25,Y
Male,No,1,4895,102,Y
Male,Yes,1,4000,290,N
Female,Yes,1,4583,84,N
Male,Yes,1,3316,88,Y
Male,No,0,14999,242,N
Male,Yes,1,4200,129,N
Male,Yes,1,5042,185,N
Male,No,1,5417,168,Y
Male,No,1,6950,175,Y
Male,Yes,1,2698,122,Y
Male,Yes,1,11757,187,Y
Female,Yes,1,2330,100,Y
Female,Yes,1,14866,70,Y
Male,Yes,1,1538,30,Y
Female,No,1,10000,225,N
Male,Yes,1,4860,125,Y
Male,No,0,6277,118,N
Male,Yes,1,2577,152,Y
Male,No,1,9166,244,N
Male,Yes,1,2281,113,N
Male,No,1,3254,50,Y
Male,Yes,0,39999,600,Y
Male,Yes,,6000,160,Y
Male,Yes,1,9538,187,Y
Male,No,1,2980,120,Y
Male,Yes,1,4583,255,Y
Male,Yes,1,1863,98,Y
Male,Yes,1,7933,275,N
Male,Yes,0,3089,121,N
Male,Yes,1,4167,158,Y
Male,Yes,1,9323,75,Y
Male,Yes,1,3707,182,Y
Female,Yes,1,4583,112,N
Male,Yes,1,2439,129,Y
Male,No,0,2237,63,N
Male,Yes,1,8000,200,Y
Male,Yes,1,1820,95,Y
,Yes,1,51763,700,Y
Male,Yes,1,3522,81,N
Male,Yes,1,5708,187,Y
Male,Yes,1,4344,87,N
Male,Yes,1,3497,116,Y
Male,Yes,1,2045,101,Y
Male,Yes,0,5516,495,N
Male,Yes,1,3750,116,Y
Male,No,0,2333,102,N
Male,Yes,0,6400,180,N
Male,No,,1916,67,N
Male,Yes,1,4600,73,Y
Male,Yes,1,33846,260,N
Female,Yes,1,3625,108,Y
Male,Yes,1,39147,120,Y
Male,Yes,0,2178,66,N
Male,Yes,,2383,58,Y
,Yes,1,674,168,Y
Male,Yes,1,9328,188,Y
Male,No,1,4885,48,Y
Male,No,1,12000,164,N
Male,Yes,1,6033,160,N
Male,No,1,3858,76,Y
Male,No,1,4191,120,Y
Male,Yes,1,3125,170,N
Male,No,1,8333,187,Y
Female,No,1,1907,120,Y
Female,Yes,,3416,113,Y
Male,No,1,11000,83,N
Male,Yes,1,2600,90,Y
Male,No,0,4923,166,Y
Male,Yes,1,3992,,N
Male,Yes,1,3500,135,Y
Male,Yes,1,3917,124,Y
Female,No,1,4408,120,Y
Female,No,1,3244,80,Y
Male,No,1,3975,55,Y
Male,No,1,2479,59,Y
Male,No,1,3418,127,N
Female,No,1,10000,214,N
Male,Yes,0,3430,128,N
Male,Yes,1,7787,240,Y
Male,Yes,1,5703,130,Y
Male,Yes,1,3173,137,Y
Male,Yes,1,3850,100,Y
Male,Yes,1,150,135,N
Male,Yes,1,3727,131,Y
Male,Yes,0,5000,72,N
Female,Yes,,4283,127,Y
Male,Yes,0,2221,60,N
Male,Yes,1,4009,116,Y
Male,No,1,2971,144,Y
Male,Yes,1,7578,175,Y
Male,Yes,1,6250,128,Y
Male,Yes,1,3250,170,N
Male,Yes,1,4735,138,N
Male,Yes,1,6250,210,Y
Male,,1,4758,158,Y
Male,No,1,6400,200,Y
Male,Yes,1,2491,104,Y
Male,Yes,1,3716,42,Y
Male,No,1,3189,120,Y
Female,No,1,8333,280,Y
Male,Yes,1,3155,140,Y
Male,Yes,1,5500,170,Y
Male,Yes,,5746,255,N
Female,No,,3463,122,Y
Female,No,1,3812,112,Y
Male,Yes,1,3315,96,Y
Male,Yes,1,5819,120,Y
Male,Yes,1,2510,140,N
Male,No,1,2965,155,Y
Male,Yes,1,6250,108,Y
Male,Yes,1,3406,123,Y
Male,No,1,6050,120,N
Male,Yes,1,9703,112,Y
Male,Yes,1,6608,137,Y
Male,Yes,1,2882,123,Y
Male,Yes,1,1809,90,Y
Male,Yes,0,1668,201,N
Female,No,1,3427,138,N
Male,No,1,2583,104,Y
Male,Yes,1,2661,279,Y
Male,No,0,16250,192,N
Female,No,1,3083,255,Y
Male,No,0,6045,115,N
Male,Yes,1,5250,94,N
Male,Yes,1,14683,304,N
Male,Yes,,4931,128,N
Male,Yes,,6083,330,Y
Male,No,1,2060,134,Y
Female,No,1,3481,155,N
Female,No,1,7200,120,Y
Male,No,1,5166,128,Y
Male,No,1,4095,151,Y
Male,Yes,1,4708,150,Y
Male,Yes,0,4333,160,Y
Female,No,1,3418,135,N
Female,No,1,2876,90,Y
Female,No,1,3237,30,Y
Male,Yes,1,11146,136,Y
Male,No,1,2833,126,Y
Male,Yes,1,2620,150,Y
Male,Yes,1,3900,90,Y
Male,Yes,1,2750,115,Y
Male,Yes,1,3993,207,Y
Male,Yes,1,3103,80,Y
Male,Yes,1,14583,436,Y
Female,Yes,,4100,124,Y
Male,No,0,4053,158,N
Male,Yes,1,3927,112,Y
Male,Yes,1,2301,78,Y
Female,No,1,1811,54,Y
Male,Yes,1,20667,,N
Male,No,1,3158,89,Y
Female,No,1,2600,99,N
Male,Yes,1,3704,120,Y
Female,No,1,4124,115,Y
Male,No,1,9508,187,Y
Male,Yes,1,3075,139,Y
Male,Yes,0,4400,127,N
Male,Yes,1,3153,134,Y
Female,No,0,5417,143,N
Male,Yes,1,2383,172,Y
Male,Yes,1,4416,110,Y
Male,Yes,1,6875,200,Y
Female,Yes,1,4666,135,Y
Female,No,1,5000,151,N
Male,Yes,1,2014,113,N
Male,Yes,0,1800,93,N
Male,Yes,1,2875,105,Y
Female,No,1,5000,132,Y
Male,Yes,1,1625,96,Y
Male,No,1,4000,140,Y
Male,No,1,2000,,N
Female,No,1,3762,135,Y
Female,No,0,2400,104,N
Male,No,1,20233,480,N
Male,Yes,,7667,185,Y
Female,No,1,2917,84,Y
Male,No,1,2927,111,Y
Female,No,1,2507,56,Y
Male,Yes,,5746,144,Y
,Yes,1,2473,159,N
Male,Yes,1,3399,111,Y
Male,Yes,1,3717,120,Y
Male,Yes,,2058,88,Y
Female,No,,3541,112,Y
Male,Yes,1,10000,155,N
Male,Yes,1,2400,115,Y
Male,Yes,1,4342,124,Y
Male,Yes,1,3601,,Y
Female,No,,3166,132,Y
Male,Yes,1,15000,300,Y
Male,Yes,0,8666,376,N
Male,No,0,4917,130,Y
Male,Yes,1,5818,184,Y
Female,Yes,1,4333,110,N
Female,No,1,2500,67,Y
Male,No,1,4384,117,Y
Male,No,1,2935,98,Y
Male,No,1,2833,71,Y
Male,Yes,1,63337,490,Y
,Yes,1,9833,182,Y
Male,Yes,1,5503,70,Y
Male,Yes,1,5250,160,Y
Male,Yes,1,2500,176,Y
Female,No,0,1830,,N
Female,No,1,4160,71,Y
Male,Yes,1,2647,173,N
Female,No,1,2378,46,N
Male,Yes,1,4554,158,Y
Male,Yes,1,3173,74,Y
Male,Yes,1,2583,125,Y
Male,Yes,1,2499,160,Y
Male,Yes,0,3523,152,N
Male,Yes,1,3083,126,Y
Male,Yes,,6333,259,Y
Male,Yes,1,2625,187,Y
Male,Yes,1,9083,228,Y
Male,No,1,8750,308,N
Male,Yes,1,2666,95,Y
Female,Yes,0,5500,105,N
Female,Yes,1,2423,130,Y
Female,No,1,3813,116,Y
Male,Yes,1,8333,165,Y
Male,Yes,1,3875,67,N
Male,Yes,0,3000,100,N
Male,Yes,1,5167,200,Y
Female,No,1,4723,81,N
Male,Yes,1,5000,236,Y
Male,Yes,1,4750,130,Y
Male,Yes,,3013,95,Y
Male,No,1,6822,141,Y
Male,No,1,6216,133,N
Male,No,1,2500,96,N
Male,No,0,5124,124,N
Male,Yes,1,6325,175,Y
Male,Yes,1,19730,570,N
Female,No,1,15759,55,Y
Male,Yes,1,5185,155,Y
Male,Yes,1,9323,380,Y
Male,No,0,3062,111,N
Female,No,1,2764,110,Y
Male,Yes,1,4817,120,Y
Male,Yes,1,8750,130,Y
Male,Yes,,4310,130,Y
Male,No,1,3069,71,N
Male,Yes,1,5391,130,Y
Male,Yes,1,3333,128,Y
Male,No,1,5941,296,Y
Female,No,1,6000,156,Y
Male,No,1,7167,128,Y
Male,Yes,1,4566,100,N
Male,No,1,3667,113,Y
Male,No,1,2346,132,Y
Male,Yes,0,3010,,N
Male,Yes,1,2333,136,Y
Male,Yes,1,5488,125,Y
Male,No,1,9167,185,Y
Male,Yes,1,9504,275,Y
Male,Yes,,2583,120,Y
Male,Yes,1,1993,113,Y
Male,Yes,1,3100,113,Y
Male,Yes,,3276,135,Y
Female,No,0,3180,71,N
Male,Yes,1,3033,95,Y
Male,No,1,3902,109,Y
Female,No,0,1500,103,N
Male,Yes,0,2889,45,N
Male,No,1,2755,65,N
Male,No,1,2500,103,Y
Female,No,1,1963,53,Y
Female,No,1,7441,194,N
Female,No,1,4547,115,Y
Male,Yes,1,2167,115,Y
Female,No,1,2213,66,Y
Male,Yes,0,8300,152,N
Male,Yes,0,81000,360,N
Female,No,1,3867,62,N
Male,Yes,,6256,160,Y
Male,Yes,0,6096,218,N
Male,Yes,1,2253,110,Y
Female,Yes,0,2149,178,N
Female,No,1,2995,60,Y
Female,No,1,2600,160,N
Male,Yes,1,1600,239,N
Male,Yes,1,1025,112,Y
Male,Yes,1,3246,138,Y
Male,Yes,1,5829,138,Y
Female,No,0,2720,80,N
Male,Yes,1,1820,100,Y
Male,Yes,0,7250,110,N
Male,Yes,1,14880,96,Y
Male,Yes,1,2666,121,Y
Female,No,1,4606,81,N
Male,Yes,1,5935,133,Y
Male,Yes,1,2920,87,Y
Male,No,1,2717,60,Y
Female,No,1,8624,150,Y
Male,No,0,6500,105,N
Male,No,1,12876,405,Y
Male,Yes,1,2425,143,Y
Male,No,1,3750,100,Y
Female,,1,10047,,Y
Male,No,1,1926,50,Y
Male,Yes,1,2213,,Y
Male,No,0,10416,187,N
Female,Yes,1,7142,138,Y
Male,No,1,3660,187,Y
Male,Yes,1,7901,180,Y
Male,No,1,4707,148,Y
Male,No,1,37719,152,Y
Male,Yes,,7333,175,Y
Male,Yes,1,3466,130,Y
Male,Yes,1,4652,110,Y
Male,Yes,1,3539,55,N
Male,Yes,0,3340,150,N
Male,No,,2769,190,N
Male,Yes,0,2309,125,N
Male,Yes,,1958,60,Y
Male,Yes,0,3948,149,N
Male,Yes,0,2483,90,Y
Male,No,1,7085,84,Y
Male,Yes,1,3859,96,Y
Male,Yes,1,4301,118,Y
Male,Yes,1,3708,173,N
Male,No,1,4354,136,Y
Male,Yes,1,8334,160,N
,Yes,,2083,160,Y
Male,Yes,1,7740,128,Y
Male,Yes,1,3015,153,Y
Female,No,1,5191,132,Y
Male,No,0,4166,98,N
Male,No,1,6000,140,Y
Male,Yes,0,2947,70,N
,Yes,1,16692,110,Y
Female,Yes,1,210,98,Y
Male,Yes,1,4333,110,N
Male,Yes,1,3450,162,Y
Male,Yes,0,2653,113,N
Male,Yes,1,4691,100,Y
Female,No,,2500,93,Y
Male,No,1,5532,162,Y
Male,Yes,1,16525,150,Y
Male,Yes,1,6700,230,Y
,Yes,0,2873,132,N
Male,Yes,1,16667,86,Y
Male,Yes,1,2947,,N
Female,No,1,4350,154,Y
Male,Yes,1,3095,113,Y
Male,Yes,1,2083,128,Y
Male,Yes,1,10833,234,Y
Male,Yes,1,8333,246,Y
Male,Yes,1,1958,131,Y
Male,No,0,3547,80,N
Male,Yes,1,18333,500,N
Male,Yes,1,4583,160,Y
Male,No,1,2435,75,N
Male,No,,2699,96,Y
Male,Yes,,5333,186,Y
Male,No,1,3691,110,Y
Female,No,1,17263,225,Y
Male,Yes,0,3597,119,N
Female,Yes,1,3326,105,Y
Male,Yes,1,2600,107,Y
Male,Yes,,4625,111,Y
Male,Yes,1,2895,95,Y
Male,No,0,6283,209,N
Female,No,1,645,113,Y
Female,No,1,3159,100,Y
Male,Yes,1,4865,208,Y
Male,Yes,,4050,138,N
Male,Yes,1,3814,124,Y
Male,Yes,1,3510,243,Y
Male,Yes,,20833,480,Y
,No,1,3583,96,N
Male,Yes,1,2479,188,Y
Female,No,1,13262,40,Y
Male,No,1,3598,100,N
Male,Yes,1,6065,250,Y
Male,Yes,1,3283,148,Y
Male,Yes,1,2130,70,N
Male,No,1,5815,311,N
Male,Yes,1,3466,150,Y
Female,Yes,1,2031,113,Y
Male,Yes,0,3074,123,N
Male,No,1,4683,185,N
Female,No,1,3400,95,N
Male,Yes,1,2192,45,Y
Male,No,1,2500,55,Y
Male,Yes,1,5677,100,Y
Male,Yes,1,7948,480,Y
Male,No,1,4680,,N
Male,Yes,1,17500,400,Y
Male,Yes,1,3775,110,Y
Male,Yes,0,5285,161,Y
Male,No,1,2679,94,Y
Male,No,1,6783,130,Y
Male,Yes,,1025,216,Y
Male,Yes,1,4281,100,Y
Male,No,0,3588,110,N
Male,No,,11250,196,N
Female,No,1,18165,125,Y
Male,No,1,2550,126,Y
Male,Yes,1,6133,324,Y
Male,No,1,3617,107,Y
Male,Yes,1,2917,66,N
Male,Yes,1,6417,157,Y
Female,Yes,1,4608,140,Y
Female,No,0,2138,99,N
Female,No,1,3652,95,Y
Male,Yes,1,2239,128,Y
Female,Yes,,3017,102,Y
Male,Yes,1,2768,155,Y
Male,No,1,3358,80,N
Male,No,1,2526,145,Y
Female,No,0,5000,103,N
Male,Yes,1,2785,110,Y
Male,Yes,0,6633,,N
Male,Yes,1,2492,,Y
Male,Yes,1,3333,158,Y
Male,Yes,0,2454,181,N
Male,Yes,0,3593,132,N
Male,Yes,1,5468,26,Y
Female,No,,2667,84,Y
Male,Yes,1,10139,260,Y
Male,Yes,1,3887,162,Y
Female,Yes,1,4180,182,Y
Male,Yes,1,3675,108,Y
Female,Yes,1,19484,600,Y
Male,Yes,1,5923,211,Y
Male,No,1,5800,132,Y
Male,Yes,0,8799,258,N
Male,Yes,,4467,120,Y
Male,No,1,3333,70,Y
Male,Yes,0,3400,123,N
Female,No,1,2378,9,N
Male,Yes,0,3166,104,N
Male,Yes,1,3417,186,Y
Male,Yes,0,5116,165,N
Male,Yes,1,16666,275,Y
Male,Yes,1,6125,187,N
Male,Yes,1,6406,150,N
Male,Yes,1,3159,108,Y
,Yes,0,3087,136,N
Male,No,1,3229,110,Y
Male,Yes,1,1782,107,Y
Male,No,1,3182,161,Y
Male,Yes,1,6540,205,Y
Male,No,1,1836,90,N
Female,Yes,1,3166,36,Y
Male,Yes,,1880,61,N
Male,Yes,0,2787,146,N
Male,Yes,1,4283,172,N
Male,Yes,1,2297,104,Y
Female,No,1,2165,70,Y
,No,1,4750,94,Y
Male,Yes,0,2726,106,N
Male,Yes,1,3000,56,Y
Male,Yes,1,6000,205,N
,No,1,9357,292,Y
Male,Yes,1,3859,142,Y
Male,Yes,1,16120,260,Y
Male,No,1,3833,110,Y
Male,Yes,1,6383,187,N
Male,No,0,2987,88,N
Male,Yes,1,9963,180,Y
Male,Yes,1,5780,192,Y
Female,No,,416,350,N
Male,Yes,1,2894,155,Y
Male,Yes,1,5703,128,Y
Male,No,1,3676,172,Y
Female,Yes,1,12000,496,Y
Male,Yes,1,2400,,N
Male,Yes,1,3400,173,Y
Male,Yes,1,3987,157,Y
Male,Yes,1,3232,108,Y
Female,No,1,2900,71,Y
Male,Yes,1,4106,40,Y
Male,Yes,1,8072,253,Y
Male,Yes,1,7583,187,Y
Female,No,0,4583,133,N
